,Req_Time,Acc_TarA,EPSDAIReq,easting,northing,speed,yaw,Loc_Time
1773,1615187577.990162,0.6286666989326477,-71.9435534022105,1318.1798177264866,-801.331755110994,3.6967165470123287,2.842838874804192,1615187577.9801598
1774,1615187578.0633473,0.6315057992935179,-72.07889069301923,1317.9306061929092,-801.25579488324,3.735530853271485,2.8363769304315616,1615187578.0559404
1775,1615187578.1161952,0.5942184627056122,-72.23287904969578,1317.7142440453172,-801.1885996642524,3.7747786045074463,2.830565548060475,1615187578.1116939
1776,1615187578.1453025,0.5870108664035797,-72.37971109003688,1317.6053414322666,-801.1540809413417,3.800913810729981,2.8277239982049074,1615187578.1434245
1777,1615187578.1882758,0.6248330712318421,-72.51673769228539,1317.4595558202127,-801.1069874586537,3.8245790004730233,2.8239699470893127,1615187578.178816
1778,1615187578.2550404,0.646207195520401,-72.64493511556819,1317.2026845355867,-801.0219085928984,3.8677065372467037,2.8174717095024597,1615187578.2507925
1779,1615187578.290816,0.6191327333450317,-72.74519861135465,1317.054831388814,-800.9724325905554,3.890913486480713,2.8136083459374426,1615187578.2901475
1780,1615187578.3464944,0.6347415089607238,-72.84344600829023,1316.8688895527155,-800.9100903528742,3.920895338058472,2.808611528729735,1615187578.3398087
1781,1615187578.3892176,0.6044663906097412,-71.76342342697787,1316.7192026455305,-800.8597126672977,3.9444189071655273,2.8045277588955786,1615187578.3786225
1782,1615187578.4407187,0.5977790057659149,-70.6546552097295,1316.5309834135694,-800.7958205388858,3.9761595726013184,2.7995207211270383,1615187578.4290702
1783,1615187578.4902675,0.6099708676338196,-69.75228115851664,1316.3416691558086,-800.730639674235,4.007189750671387,2.794643359349698,1615187578.4806464
1784,1615187578.5470974,0.5928674280643462,-68.96064020675271,1316.1123828128912,-800.6508861570619,4.052180767059326,2.788537045918356,1615187578.5417914
1785,1615187578.589578,0.5987278461456298,-68.03346049307582,1315.9583639586344,-800.5965973446146,4.08453893661499,2.784347386277802,1615187578.5791874
1786,1615187578.6404138,0.5797430455684662,-66.98240909303847,1315.7260103707667,-800.5128780715168,4.128252506256104,2.777935417156828,1615187578.6402712
1787,1615187578.6918592,0.6052735686302185,-65.99509674513328,1315.5313154650505,-800.4408370410092,4.153264045715332,2.772626676782146,1615187578.6900198
1788,1615187578.7400925,0.5905262529850006,-65.02647830198525,1315.3750094748102,-800.3816483239642,4.176546096801759,2.7685685411572187,1615187578.7295327
1789,1615187578.7914007,0.6090250551700591,-63.983954756267245,1315.1392640761333,-800.2908786716872,4.215388774871826,2.7625797310927416,1615187578.7897346
1790,1615187578.840235,0.5887900650501251,-62.63786802030039,1314.9416948568542,-800.2136209364979,4.244567394256592,2.7576301019855007,1615187578.8385177
1791,1615187578.8892472,0.6374481737613678,-61.10622986279536,1314.7831115718582,-800.1509629003704,4.267343044281007,2.7535177055052995,1615187578.8788445
1792,1615187578.9389231,0.6364023268222808,-59.603642135821524,1314.5840333371307,-800.0709492638707,4.2977657318115225,2.748304815523904,1615187578.9277625
1793,1615187578.9912806,0.5808920204639434,-58.25086945968316,1314.3843426092062,-799.9889129898511,4.325011730194092,2.7430263157361328,1615187578.9801652
1794,1615187579.0469196,0.593792450428009,-56.88501318927662,1314.1843928287274,-799.9047900279984,4.353635787963866,2.7377304353837117,1615187579.0357854
1795,1615187579.1175356,0.6163266122341156,-55.21352787720011,1313.8631940323974,-799.7665926651097,4.4096412658691415,2.729547293623803,1615187579.112959
1796,1615187579.1434338,0.5879267752170563,-53.4935428264725,1313.7824566662896,-799.7314664577133,4.419180393218994,2.7275477539373965,1615187579.1342235
1797,1615187579.1892626,0.6200913906097412,-51.887353366346254,1313.5796083783498,-799.6430201320909,4.455015182495117,2.722564729996954,1615187579.1797926
1798,1615187579.2414362,0.6275902867317199,-50.186725830719396,1313.3344235268887,-799.536099051591,4.491900444030762,2.716483385525143,1615187579.2409403
1799,1615187579.2917006,0.5940828144550323,-48.753734073280974,1313.1291052517481,-799.4458257816733,4.516610622406006,2.7115036871525104,1615187579.2899961
1800,1615187579.345062,0.5940853834152221,-47.184927856863105,1312.9229601940606,-799.3538202019407,4.542572498321533,2.7068008545828186,1615187579.3400526
1801,1615187579.3934221,0.6127285361289978,-45.9029521024834,1312.7159446509904,-799.2597278691827,4.573974609375,2.702224571316787,1615187579.3889725
1802,1615187579.4388928,0.5741950929164886,-44.947842350767885,1312.5494566697162,-799.1833831020631,4.6030921936035165,2.6984353421825458,1615187579.4288821
1803,1615187579.4947312,0.5542646467685699,-44.245064936080894,1312.2985548144204,-799.0671191359869,4.635556221008301,2.6927899039539556,1615187579.4907365
1804,1615187579.5436351,0.5379832267761231,-43.754155410955065,1312.0883807045175,-798.9682434271091,4.665167808532715,2.6883577824930383,1615187579.5400054
1805,1615187579.5897748,0.5163078546524047,-43.42565533935052,1311.9196707226802,-798.8876141300426,4.690553188323975,2.684924271130214,1615187579.5789454
1806,1615187579.647012,0.4946658045053482,-43.22717225083602,1311.665720583056,-798.7635635971092,4.734261989593506,2.6800294370362656,1615187579.6403625
1807,1615187579.6897318,0.4685813754796981,-43.12160048420185,1311.4959101947024,-798.6790163754486,4.7648024559021,2.676926232585413,1615187579.6788526
1808,1615187579.744768,0.4465407997369766,-43.0790581279004,1311.282750267128,-798.5718561406247,4.797497749328613,2.6730827330314946,1615187579.7301607
1809,1615187579.7909095,0.5256395727396009,-41.54927847848939,1311.0256255206184,-798.4415638190694,4.830197811126709,2.66850995189078,1615187579.7899613
