Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,longitude,latitude,easting,northing,height,speed,yaw,pitch,roll
1622864307.15604,580858,1622864307,119999886,map,121.17669669144,31.2799190334,251.644583876885,-312.53391606593505,0.0,13.229679107666016,2.358088215784737,0.0,0.0
1622864307.1651368,580859,1622864307,130000114,map,121.17669569563,31.27991986296,251.55129435710842,-312.44038729788736,0.0,13.232734680175781,2.358659523920837,0.0,0.0
1622864307.1747673,580860,1622864307,140000105,map,121.17669469949,31.27992069313,251.45797453651903,-312.34679038915783,0.0,13.231968879699707,2.3592309268981286,0.0,0.0
1622864307.183145,580861,1622864307,150000095,map,121.17669370239,31.27992152291,251.36456260358682,-312.2532352008857,0.0,13.23597240447998,2.3597993689592505,0.0,0.0
1622864307.1939254,580862,1622864307,160000086,map,121.17669270449,31.27992235225,251.27107369946316,-312.1597275300883,0.0,13.239130020141602,2.3603484069035345,0.0,0.0
1622864307.2032318,580863,1622864307,170000076,map,121.1766917059,31.27992317977,251.1775157682132,-312.0664205295034,0.0,13.239697456359863,2.360893494452135,0.0,0.0
1622864307.2150803,580864,1622864307,180000067,map,121.17669070672,31.27992400794,251.08390285621863,-311.9730405448936,0.0,13.241456031799316,2.3614168659858645,0.0,0.0
1622864307.2226503,580865,1622864307,190000057,map,121.17668970751,31.27992483512,250.9902852756204,-311.87977025751024,0.0,13.238815307617188,2.3619551432946313,0.0,0.0
1622864307.2307017,580866,1622864307,200000048,map,121.17668870669,31.27992566265,250.89651505288202,-311.7864586384967,0.0,13.240211486816406,2.3625268250882714,0.0,0.0
1622864307.2420375,580867,1622864307,210000038,map,121.17668770561,31.2799264882,250.80271644797176,-311.6933661028743,0.0,13.23857593536377,2.3630981738905423,0.0,0.0
1622864307.2504382,580868,1622864307,220000029,map,121.17668670407,31.27992731426,250.7088749872055,-311.600216305349,0.0,13.237927436828613,2.3636490585851617,0.0,0.0
1622864307.2597659,580869,1622864307,230000019,map,121.17668570089,31.27992814012,250.6148770202417,-311.50708609912544,0.0,13.247334480285645,2.364200807339933,0.0,0.0
1622864307.2697935,580870,1622864307,240000010,map,121.17668469659,31.27992896581,250.52077210636344,-311.4139729728922,0.0,13.256092071533203,2.3647265036173195,0.0,0.0
1622864307.278664,580871,1622864307,250000000,map,121.17668369338,31.27992978857,250.4267656041775,-311.32118636835366,0.0,13.245074272155762,2.3652872537855356,0.0,0.0
1622864307.291652,580872,1622864307,259999990,map,121.17668268872,31.27993061261,250.33262339641806,-311.22825558809564,0.0,13.243873596191406,2.365819975501853,0.0,0.0
1622864307.2983224,580873,1622864307,269999981,map,121.17668168311,31.2799314361,250.2383897327818,-311.13538428163156,0.0,13.24661636352539,2.366383797309926,0.0,0.0
1622864307.309203,580874,1622864307,279999971,map,121.17668067607,31.27993225939,250.1440195608884,-311.04253289522603,0.0,13.254488945007324,2.3669574366648543,0.0,0.0
1622864307.3179045,580875,1622864307,289999962,map,121.17667966939,31.27993308081,250.04968023335095,-310.9498893748969,0.0,13.24953842163086,2.367497733179939,0.0,0.0
1622864307.3281622,580876,1622864307,299999952,map,121.17667866199,31.27993390303,249.95527382794535,-310.85715603642166,0.0,13.245335578918457,2.3680375353479675,0.0,0.0
1622864307.3386006,580877,1622864307,309999943,map,121.17667765323,31.27993472517,249.86073779367143,-310.7644294220954,0.0,13.253682136535645,2.368557907742816,0.0,0.0
